Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off,,,,,
Rappi,Buenos Aires,Food,,,1/17/2023 0:00,https://www.bloomberglinea.com/2023/01/17/cambios-en-rappi-argentina-nuevas-ciudades-ascenso-y-reorganizacion-en-el-pais/,2300,Unknown,1/20/2023 1:09,Argentina,Unknown,,,,,
Ualá,Buenos Aires,Finance,53,0.03,11/30/2022 0:00,https://www.perfil.com/noticias/economia/empresa-uala-despidio-medio-centenar-trabajadores.phtml,544,Series D,12-01-2022 06:29,Argentina,Unknown,,,,,
Etermax,Buenos Aires,Other,40,,11/30/2022 0:00,https://www.clarin.com/economia/despidos-reestructuracion-tecnologicas-empresas-achican-pasar-2023_0_uxSUuShZhQ.html,,Unknown,12-01-2022 06:33,Argentina,Unknown,,,,,
Lemon,Buenos Aires,Crypto,100,0.38,11/24/2022 0:00,https://www.forbesargentina.com/innovacion/lemon-despide-tercio-sus-empleados-anuncia-nuevo-foco-compania-sea-mas-sostenible-n25358,17,Series A,11/25/2022 4:10,Argentina,https://docs.google.com/spreadsheets/u/1/d/1bCJqnr1S86iwwFbMWoAk-4Gb5CM8ZeE3AKJs_fC-1S0/htmlview#gid=0,,,,,
Tiendanube,Buenos Aires,Marketing,50,0.05,10/17/2022 0:00,https://tekiosmag.com/2022/10/17/unicornio-tiendanube-reduce-sus-operaciones-y-despide-al-5-de-su-plantilla/,,Unknown,11-06-2022 18:23,Argentina,Unknown,,,,,
Buenbit,Buenos Aires,Crypto,80,0.45,5/23/2022 0:00,https://www.coindesk.com/business/2022/05/24/argentinian-crypto-exchange-buenbit-cuts-45-of-staff-due-to-tech-industry-downturn/,11,Series A,5/25/2022 13:53,Argentina,Unknown,,,,,
Milkrun,Sydney,Food,,0.2,2/15/2023 0:00,https://www.smh.com.au/technology/milkrun-slashes-workforce-closes-delivery-hubs-in-cash-crunch-20230215-p5ckny.html,86,Series A,2/15/2023 19:04,Australia,Unknown,,,,,
Baraja,Sydney,Transportation,,0.75,02-08-2023 00:00,https://www.news.com.au/finance/business/technology/australian-driverless-car-startup-baraja-worth-300m-sacks-75-per-cent-of-staff/news-story/c7c36ac5afded8f5171e8cc0ec5a71af,63,Unknown,02-08-2023 17:46,Australia,Unknown,,,,,
Nearmap,Sydney,Construction,,0.2,02-08-2023 00:00,https://www.afr.com/technology/c-suite-coup-mass-layoffs-at-nearmap-as-us-owner-wields-axe-20230207-p5cil4,15,Acquired,02-08-2023 17:38,Australia,Unknown,,,,,
Openpay,Melbourne,Finance,83,1,02-07-2023 00:00,https://www.9news.com.au/finance/openpay-buy-now-pay-later-collapses-asx-listed-company/1fd1c0d8-4215-4e64-a9ed-9381e0d3f1a5,299,Post-IPO,02-07-2023 03:58,Australia,Unknown,,,,,
